run_id,plot_strategy,plot_pesticide,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_1,threshold,neonicotinoid,1,8,8,3.097757419604165,0.9098201803958351,10,0.32499999999999996,100.0
threshold_1,calendar,etofenprox,1,9,8,3.1253577477686383,0.8822198522313633,5,0.0525,110.6
threshold_1,none,neonicotinoid,1,0,9,3.049624285657451,0.9579533143425478,0,0.0,100.0
threshold_1,calendar,neonicotinoid,1,1,9,3.062642666783717,0.9449349332162826,5,0.0875,100.0
threshold_1,none,etofenprox,1,2,9,2.591290467930088,1.416287132069914,0,0.0,110.6
threshold_1,none,etofenprox,1,3,9,2.6772272466425306,1.330350353357469,0,0.0,110.6
threshold_1,threshold,neonicotinoid,1,4,9,3.39464249098407,0.6129351090159312,9,0.26249999999999996,100.0
threshold_1,threshold,etofenprox,1,5,9,3.3555247549975538,0.6520528450024473,9,0.1575,110.6
threshold_1,none,neonicotinoid,1,6,9,2.605022899306622,1.4025547006933778,0,0.0,100.0
threshold_1,none,neonicotinoid,1,7,9,2.517927672368472,1.4896499276315287,0,0.0,100.0
threshold_1,none,etofenprox,1,8,9,2.4836518412161053,1.523925758783894,0,0.0,110.6
threshold_1,threshold,neonicotinoid,1,9,9,3.471131606261899,0.5364459937381013,9,0.26249999999999996,100.0
threshold_2,calendar,etofenprox,1,0,0,3.441419625097658,0.5661579749023431,5,0.0525,110.6
threshold_2,threshold,neonicotinoid,1,1,0,3.4667836554767315,0.5407939445232695,9,0.26249999999999996,100.0
threshold_2,threshold,etofenprox,1,2,0,3.356992657929659,0.6505849420703406,9,0.1575,110.6
threshold_2,none,neonicotinoid,1,3,0,2.6541057864318423,1.3534718135681574,0,0.0,100.0
threshold_2,calendar,neonicotinoid,1,4,0,3.1641855985046563,0.8433920014953435,5,0.0875,100.0
threshold_2,threshold,neonicotinoid,1,5,0,3.427425043268424,0.5801525567315763,9,0.26249999999999996,100.0
threshold_2,none,neonicotinoid,1,6,0,2.8272126443447427,1.1803649556552567,0,0.0,100.0
threshold_2,none,neonicotinoid,1,7,0,2.7324249947579062,1.2751526052420936,0,0.0,100.0
threshold_2,threshold,neonicotinoid,1,8,0,3.416413346837378,0.5911642531626213,10,0.32499999999999996,100.0
threshold_2,threshold,etofenprox,1,9,0,3.524838942848451,0.4827386571515498,7,0.0825,110.6
threshold_2,threshold,neonicotinoid,1,0,1,3.456883502334246,0.5506940976657527,9,0.26249999999999996,100.0
threshold_2,threshold,etofenprox,1,1,1,3.275349128484133,0.7322284715158669,10,0.195,110.6
threshold_2,threshold,etofenprox,1,2,1,3.1200030399195318,0.8875745600804671,10,0.195,110.6
threshold_2,none,etofenprox,1,3,1,2.3378504810945886,1.6697271189054126,0,0.0,110.6
threshold_2,calendar,etofenprox,1,4,1,2.8324576869184237,1.1751199130815762,5,0.0525,110.6
threshold_2,threshold,etofenprox,1,5,1,3.1402492453124142,0.8673283546875858,10,0.195,110.6
threshold_2,calendar,etofenprox,1,6,1,2.915749927827644,1.0918276721723563,5,0.0525,110.6
threshold_2,threshold,neonicotinoid,1,7,1,3.206109136799643,0.8014684632003584,10,0.32499999999999996,100.0
threshold_2,threshold,etofenprox,1,8,1,3.2424095098201913,0.7651680901798088,10,0.195,110.6
threshold_2,threshold,neonicotinoid,1,9,1,3.486174279213246,0.5214033207867534,9,0.26249999999999996,100.0
threshold_2,threshold,etofenprox,1,0,2,3.420721433167662,0.5868561668323361,9,0.1575,110.6
threshold_2,calendar,etofenprox,1,1,2,2.984003983994108,1.0235736160058928,5,0.0525,110.6
threshold_2,none,etofenprox,1,2,2,2.4144651900105085,1.593112409989491,0,0.0,110.6
threshold_2,calendar,etofenprox,1,3,2,3.0226160933769344,0.9849615066230663,5,0.0525,110.6
threshold_2,calendar,etofenprox,1,4,2,2.9712485215614586,1.036329078438541,5,0.0525,110.6
threshold_2,calendar,etofenprox,1,5,2,3.0785272568262982,0.9290503431737034,5,0.0525,110.6
threshold_2,none,etofenprox,1,6,2,2.681807485664714,1.3257701143352874,0,0.0,110.6
threshold_2,calendar,etofenprox,1,7,2,3.0822036248296594,0.9253739751703407,5,0.0525,110.6
threshold_2,threshold,etofenprox,1,8,2,3.3122829589866876,0.6952946410133134,10,0.195,110.6
threshold_2,threshold,etofenprox,1,9,2,3.4906947453556945,0.5168828546443064,9,0.1575,110.6
threshold_2,calendar,neonicotinoid,1,0,3,3.2713819510811453,0.736195648918855,5,0.0875,100.0
threshold_2,none,neonicotinoid,1,1,3,2.397438434986513,1.6101391650134869,0,0.0,100.0
threshold_2,calendar,etofenprox,1,2,3,2.978520790295799,1.0290568097042014,5,0.0525,110.6
threshold_2,calendar,etofenprox,1,3,3,2.997545728352571,1.010031871647428,5,0.0525,110.6
threshold_2,calendar,etofenprox,1,4,3,3.058408611163126,0.9491689888368737,5,0.0525,110.6
threshold_2,threshold,neonicotinoid,1,5,3,3.258566964329534,0.7490106356704652,10,0.32499999999999996,100.0
threshold_2,calendar,etofenprox,1,6,3,3.0396938158030595,0.9678837841969418,5,0.0525,110.6
threshold_2,calendar,etofenprox,1,7,3,3.0255230808726434,0.9820545191273564,5,0.0525,110.6
threshold_2,threshold,neonicotinoid,1,8,3,3.291788922846608,0.7157886771533929,10,0.32499999999999996,100.0
threshold_2,threshold,neonicotinoid,1,9,3,3.454552756854907,0.5530248431450935,9,0.26249999999999996,100.0
threshold_2,calendar,neonicotinoid,1,0,4,3.2870063789287687,0.7205712210712312,5,0.0875,100.0
threshold_2,threshold,etofenprox,1,1,4,3.2576098118983268,0.7499677881016735,10,0.195,110.6
threshold_2,threshold,neonicotinoid,1,2,4,3.307884738861724,0.6996928611382766,10,0.32499999999999996,100.0
threshold_2,threshold,neonicotinoid,1,3,4,3.3884360569567806,0.6191415430432219,9,0.26249999999999996,100.0
threshold_2,none,etofenprox,1,4,4,2.628609678564179,1.3789679214358208,0,0.0,110.6
threshold_2,calendar,etofenprox,1,5,4,3.0623258812883587,0.9452517187116416,5,0.0525,110.6
threshold_2,calendar,neonicotinoid,1,6,4,3.1027820041322736,0.9047955958677263,5,0.0875,100.0
threshold_2,calendar,neonicotinoid,1,7,4,3.016640031886853,0.9909375681131469,5,0.0875,100.0
threshold_2,none,etofenprox,1,8,4,2.3980639201684646,1.6095136798315348,0,0.0,110.6
threshold_2,calendar,etofenprox,1,9,4,3.2323846717447373,0.7751929282552616,5,0.0525,110.6
threshold_2,calendar,neonicotinoid,1,0,5,3.396788493544106,0.6107891064558946,5,0.0875,100.0
threshold_2,calendar,neonicotinoid,1,1,5,3.2158022095551475,0.7917753904448525,5,0.0875,100.0
threshold_2,calendar,etofenprox,1,2,5,3.232372459301781,0.7752051406982194,5,0.0525,110.6
threshold_2,calendar,neonicotinoid,1,3,5,3.2697921710097813,0.7377854289902193,5,0.0875,100.0
threshold_2,threshold,neonicotinoid,1,4,5,3.3682350490896655,0.6393425509103355,10,0.32499999999999996,100.0
threshold_2,calendar,neonicotinoid,1,5,5,3.168415930075003,0.8391616699249969,5,0.0875,100.0
threshold_2,calendar,etofenprox,1,6,5,3.076641822832869,0.9309357771671322,5,0.0525,110.6
threshold_2,none,etofenprox,1,7,5,2.4539596953823004,1.5536179046177006,0,0.0,110.6
threshold_2,calendar,etofenprox,1,8,5,2.8879944120598795,1.1195831879401212,5,0.0525,110.6
threshold_2,threshold,neonicotinoid,1,9,5,3.3891379183069414,0.6184396816930596,9,0.26249999999999996,100.0
threshold_2,threshold,etofenprox,1,0,6,3.4651372669520346,0.5424403330479662,9,0.1575,110.6
threshold_2,threshold,etofenprox,1,1,6,3.315466232031563,0.6921113679684384,10,0.195,110.6
threshold_2,threshold,etofenprox,1,2,6,3.356402099888788,0.6511755001112128,9,0.1575,110.6
