run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
calendar_78,calendar,2,3.0760649170316334,0.9315126829683669,5,22599.953378701037,100.0
calendar_77,calendar,2,3.0045939611379078,1.0029836388620925,5,21904.205362765668,100.0
calendar_76,calendar,2,2.942529029209087,1.065048570790913,5,21770.740431499176,100.0
calendar_79,calendar,3,3.0087228592501685,0.9988547407498328,5,31017.572798446163,100.0
calendar_78,calendar,3,3.1577119931843076,0.8498656068156931,5,31573.089358253957,100.0
calendar_77,calendar,3,3.024479596191945,0.9830980038080559,5,30477.644151341505,100.0
calendar_76,calendar,3,3.035430149493901,0.9721474505060984,5,30377.030879980877,100.0
threshold_82,threshold,1,3.408731137686804,0.5988464623131979,8,14426.193413060413,100.0
threshold_81,threshold,1,3.389448312236023,0.6181292877639775,9,14268.344936708068,100.0
threshold_80,threshold,1,3.379536291290739,0.628041308709262,8,14338.608873872217,100.0
threshold_83,threshold,1,3.3991057346533022,0.6084718653466983,7,14497.317203959907,100.0
threshold_82,threshold,2,3.3990326725048114,0.6085449274951902,8,23823.29143057485,100.0
threshold_81,threshold,2,3.376187570500773,0.6313900294992273,9,23496.90764821039,100.0
threshold_80,threshold,2,3.418953864499824,0.5886237355001759,7,23895.47046737169,100.0
threshold_83,threshold,2,3.407612523222494,0.5999650767775053,7,24020.15477362739,100.0
threshold_82,threshold,3,3.3784165609556203,0.6291610390443799,8,33158.54111344171,100.0
threshold_81,threshold,3,3.376547777007025,0.631029822992975,9,32726.550979231462,100.0
threshold_80,threshold,3,3.3939187548392717,0.61365884516073,8,33277.2267318895,100.0
threshold_83,threshold,3,3.383682560359014,0.6238950396409869,7,33471.202454704435,100.0
threshold_87,threshold,1,3.4187006707850554,0.5888769292149447,7,14556.102012355166,100.0
threshold_86,threshold,1,3.3990657359632137,0.6085118640367869,8,14397.197207889642,100.0
threshold_85,threshold,1,3.3820798209786767,0.6254977790213238,8,14346.23946293603,100.0
threshold_84,threshold,1,3.3947375063651504,0.6128400936348501,9,14284.21251909545,100.0
threshold_87,threshold,2,3.389655192494975,0.6179224075050255,9,23825.06758984009,100.0
threshold_86,threshold,2,3.4001468426522736,0.6074307573477273,8,23797.63773584646,100.0
threshold_85,threshold,2,3.3954149601144645,0.6121626398855368,8,23732.484343279422,100.0
threshold_84,threshold,2,3.39063726946042,0.6169403305395803,7,23756.12432747671,100.0
threshold_87,threshold,3,3.387466599547341,0.6201110004526614,7,33287.46738848212,100.0
threshold_86,threshold,3,3.3713753604958656,0.6362022395041348,8,33111.76381733405,100.0
threshold_85,threshold,3,3.3920514436134757,0.6155261563865253,7,33208.63867411985,100.0
